N,P,K,Temperature,Humidity,pH,Rainfall,Leaf Color,Fertility Score (%),Interpretation,Fertilizer Recommendation,Crop Recommendation
33,126,38,29.86,65.38,5.12,4.12,Very Dark Green,42.75,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
137,105,158,26.73,17.51,8.56,74.51,Light Yellowish Green,33.03,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
95,91,81,31.92,89.42,5.38,64.32,Very Dark Green,56.42,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
0,30,99,23.96,82.32,8.23,81.24,Dark Green,85.06,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
68,121,1,11.8,55.47,8.85,74.27,Green,20.15,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
3,136,76,26.87,97.04,6.1,18.76,Pale Green,93.44,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
15,50,11,38.73,47.6,8.96,137.68,Very Dark Green,68.91,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
23,28,38,15.26,98.57,5.76,219.82,Dark Green,82.33,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
79,39,193,30.7,70.11,9.28,182.02,Light Yellowish Green,55.62,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
1,40,12,16.03,67.12,4.04,201.86,Very Dark Green,77.95,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
127,10,45,26.07,24.94,7.62,24.34,Very Dark Green,1.62,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
83,0,154,12.9,89.37,6.46,285.45,Pale Green,81.84,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
139,45,112,23.51,48.47,5.83,251.55,Dark Green,4.01,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
123,100,16,32.68,24.6,7.3,241.53,Green,88.99,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
32,89,103,20.43,11.13,7.72,246.9,Light Yellowish Green,99.2,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
100,109,97,29.95,60.38,3.53,279.81,Dark Green,29.41,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
11,56,187,33.86,57.47,4.5,163.28,Light Yellowish Green,21.03,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
66,0,191,37.82,74.74,7.78,60.08,Very Dark Green,76.54,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
64,62,87,17.04,90.12,7.5,185.04,Pale Green,25.3,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
73,54,108,21.98,17.15,9.3,222.86,Pale Green,86.56,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
42,114,162,14.57,75.83,8.07,221.38,Green,10.28,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
43,52,69,39.77,26.87,9.2,156.43,Pale Green,12.6,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
28,136,157,37.81,87.24,7.72,20.54,Very Dark Green,97.92,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
11,56,198,26.2,83.72,5.29,111.33,Green,67.38,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
94,116,73,35.26,58.67,4.13,276.23,Dark Green,84.69,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
45,34,62,25.63,73.92,8.19,175.33,Pale Green,32.43,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
129,62,155,28.71,38.29,7.36,161.5,Green,67.65,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
34,24,59,12.67,52.41,3.79,80.66,Very Dark Green,59.42,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
80,89,78,32.66,83.95,5.66,110.53,Light Yellowish Green,60.32,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
89,74,36,13.83,51.33,9.24,268.6,Light Yellowish Green,68.25,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
7,37,21,34.78,42.2,6.5,199.94,Very Dark Green,57.54,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
92,129,195,33.46,54.48,6.1,236.22,Very Dark Green,42.91,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
89,134,147,31.26,84.54,6.25,136.3,Light Yellowish Green,27.59,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
114,90,95,11.08,40.17,4.75,189.07,Green,76.86,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
104,16,67,19.09,25.64,5.71,74.52,Light Yellowish Green,22.63,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
134,127,191,17.89,74.08,5.72,211.64,Very Dark Green,69.24,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
57,107,16,20.8,84.34,3.81,128.28,Pale Green,23.33,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
113,24,11,12.63,19.06,8.11,132.76,Dark Green,62.53,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
74,87,149,38.11,31.59,6,194.8,Pale Green,74.71,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
119,28,144,26.61,22.78,8.43,280.88,Pale Green,21.87,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
20,62,137,19.17,41.31,8.6,19.2,Very Dark Green,5.99,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
137,113,117,21.91,50.53,4.77,247.42,Light Yellowish Green,13.1,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
100,48,192,23.42,77.39,7.44,87.71,Green,60.6,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
98,80,21,28.02,68.6,6.33,133.18,Pale Green,84.94,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
35,83,119,25.47,65.88,8.78,6.57,Light Yellowish Green,4.5,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
95,104,49,37.58,41.71,4.79,90.31,Green,73.42,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
36,117,13,24.91,85.73,7.57,150.79,Pale Green,34.13,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
11,85,191,39.76,52.42,7.15,16.85,Green,47.85,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
112,62,174,35.54,98.12,5.27,147.33,Light Yellowish Green,92.89,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
12,103,28,16.26,67.07,4.32,278.13,Dark Green,33.2,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
22,48,163,37.92,21.36,7.41,31.62,Light Yellowish Green,46.53,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
98,70,179,13.49,70.86,7.93,229.33,Very Dark Green,1.37,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
104,0,124,34.52,39.26,5.39,122.9,Green,8.16,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
29,122,6,21.42,71.77,7.37,196.55,Dark Green,25.86,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
16,61,28,36.34,16.27,5.87,78.07,Green,2.79,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
112,31,138,36.04,25.74,7.78,47.85,Green,63.14,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
61,28,32,34.18,87.02,4.7,48.14,Pale Green,42.64,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
83,48,133,33.7,30.45,8.84,21.15,Very Dark Green,54.81,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
111,29,110,19.14,85.33,5.22,55.69,Green,17.46,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
85,18,78,12.43,35.13,5.71,199.27,Light Yellowish Green,29.59,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
18,17,159,22.09,67.86,3.85,264.51,Light Yellowish Green,66.38,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
99,0,178,15.21,72.47,4.17,244.24,Pale Green,96.53,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
139,77,57,30.85,56.14,6.6,205.54,Very Dark Green,5.04,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
75,114,25,20.38,37.48,5.11,33.13,Very Dark Green,89.04,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
8,112,173,39.27,29.14,8.51,86.76,Light Yellowish Green,57.69,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
27,113,28,29.23,12.99,3.59,92.94,Dark Green,56.39,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
127,62,3,34.67,37.36,5.77,74.99,Pale Green,50.03,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
51,131,98,13.98,68.78,5.52,154.5,Pale Green,6.94,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
82,128,140,35.86,94.45,3.62,160.67,Light Yellowish Green,8.99,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
110,7,38,37.68,88.41,4.25,107.07,Light Yellowish Green,60.09,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
116,54,14,24.61,78.95,5.98,106.14,Dark Green,34.1,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
68,102,118,28.19,80.96,6.46,248.57,Dark Green,91.73,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
98,130,28,32.94,69.85,5.93,236.79,Very Dark Green,40.66,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
139,31,156,15.25,33.43,6.69,92.34,Pale Green,14.33,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
24,9,74,25.08,91.65,7.07,274.14,Pale Green,71.47,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
122,109,115,21.96,70.37,3.56,285.84,Light Yellowish Green,29.34,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
52,123,31,14.39,60.44,6.28,98.02,Very Dark Green,52.55,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
56,86,129,21.03,19.99,9.28,106.33,Pale Green,69.78,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
38,54,174,12.05,50.23,6.61,151.69,Very Dark Green,90.03,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
108,31,83,10.77,51.43,7.57,282.34,Very Dark Green,79.22,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
41,134,21,14.05,87.81,5.37,262.9,Light Yellowish Green,67.64,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
121,92,26,38.89,59.2,8.14,30.77,Very Dark Green,67.96,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
132,7,194,26.49,44.24,8.14,117.82,Dark Green,94.59,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
74,64,80,38.97,97.91,6.63,166.01,Dark Green,29.58,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
75,56,125,22.97,19.96,9.36,150.94,Green,0.11,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
8,66,183,19.35,48.03,4.25,58.16,Light Yellowish Green,27.2,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
73,71,91,25.18,13.78,3.6,257.65,Green,21.79,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
6,53,20,23.19,76.59,8.12,203.08,Dark Green,66.18,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
136,66,46,13.17,92.63,8.34,251.37,Green,63.37,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
26,50,100,29.22,35.2,4.22,257.63,Light Yellowish Green,59.35,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
121,96,186,16.48,87.25,5.09,224.51,Light Yellowish Green,1.62,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
4,91,83,28.59,36.3,3.61,131.76,Very Dark Green,72.88,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
28,7,5,29.51,91.97,5.26,183.16,Pale Green,32.35,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
82,34,146,14.56,77.86,8.14,48.11,Very Dark Green,66.51,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
135,95,184,11.84,82.44,6.61,202.09,Light Yellowish Green,55.66,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
108,87,196,33.42,11.62,5.59,53.78,Dark Green,34.27,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
64,77,130,23.79,96.65,5.73,208.18,Dark Green,13.46,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
85,31,0,11.74,75.4,3.51,68.88,Very Dark Green,9.44,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
70,119,57,39.85,37.43,5.3,35.27,Light Yellowish Green,83.15,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
44,45,123,11.73,84.65,7.38,49.59,Dark Green,91.84,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
131,54,165,30.85,35.34,9.35,0.6,Light Yellowish Green,64.98,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
35,6,14,39.51,88.55,8.58,215.62,Dark Green,10.34,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
69,73,161,17.18,20.13,3.64,219.72,Light Yellowish Green,40.2,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
18,6,188,14.27,73.33,8.89,154.48,Green,72.89,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
107,84,162,13.64,58.66,8.2,48.41,Light Yellowish Green,77.98,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
90,111,63,19.1,18.69,8.18,25.07,Light Yellowish Green,11.82,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
89,124,24,13.03,31.77,6.25,5.74,Very Dark Green,0,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
18,35,23,30.76,11.12,5.89,49.72,Green,71.21,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
38,28,11,11.87,52.19,5.32,267.26,Pale Green,35.66,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
125,81,17,25.28,37.11,3.89,72.46,Very Dark Green,25.45,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
125,1,14,39.9,63.85,4.87,106.28,Pale Green,1.29,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
57,128,26,34.42,36.75,4.98,31.6,Dark Green,54.03,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
60,46,71,28.46,36.99,6.4,66.71,Pale Green,85.12,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
126,10,59,19.19,76.89,7.98,155.77,Light Yellowish Green,95.76,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
104,129,173,28.72,14.33,6.34,182.33,Pale Green,56.57,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
0,118,144,25.81,91.26,3.85,73.61,Very Dark Green,51.45,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
130,139,92,22.78,86.7,9.25,17.32,Very Dark Green,8.51,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
91,19,52,13.92,70.1,9.16,117.31,Pale Green,54.89,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
112,4,7,36.6,63.39,8.21,70.26,Very Dark Green,38,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
55,36,78,23.49,90.31,9.45,65.87,Very Dark Green,60.71,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
116,136,26,15.84,26.68,6.77,287.96,Pale Green,38.87,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
133,52,173,21.03,17.11,9.28,184.89,Green,24.03,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
57,98,49,22.42,31.56,3.95,167.06,Green,9.5,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
